"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2018","102.92","102.94","103.34","102.43","13.64M","-0.26%"
"03/25/2018","103.19","102.52","103.31","102.39","13.02M","0.48%"
"03/18/2018","102.70","102.15","102.77","101.68","16.34M","0.32%"
"03/11/2018","102.37","102.00","102.66","101.94","12.58M","0.44%"
"03/04/2018","101.92","102.35","102.35","101.77","8.89M","-0.15%"
"02/25/2018","102.07","102.36","102.61","101.74","16.05M","-0.06%"
"02/18/2018","102.13","101.81","102.21","101.46","13.29M","0.12%"
"02/11/2018","102.01","102.22","102.39","101.63","15.01M","-0.21%"
"02/04/2018","102.22","102.25","103.31","101.89","27.12M","0.00%"
"01/28/2018","102.22","103.50","103.55","102.11","22.35M","-1.49%"
"01/21/2018","103.77","103.87","104.11","103.62","18.45M","-0.02%"
"01/14/2018","103.79","104.74","104.76","103.73","14.36M","-0.75%"
"01/07/2018","104.57","105.20","105.22","104.23","13.75M","-0.55%"
"12/31/2017","105.15","105.44","105.47","105.02","10.63M","-0.40%"
"12/24/2017","105.57","105.05","105.64","105.03","8.27M","0.50%"
"12/17/2017","105.04","106.03","106.06","104.87","11.97M","-1.02%"
"12/10/2017","106.12","105.97","106.23","105.60","7.57M","0.20%"
"12/03/2017","105.91","105.65","106.31","105.64","9.87M","-0.02%"
"11/26/2017","105.93","106.33","106.54","105.50","14.16M","-0.33%"
"11/19/2017","106.28","106.05","106.42","105.94","4.26M","0.09%"
"11/12/2017","106.18","105.91","106.35","105.77","7.12M","0.33%"
"11/05/2017","105.83","106.47","106.63","105.79","5.33M","-0.51%"
"10/29/2017","106.37","106.09","106.40","105.92","8.72M","0.49%"
"10/22/2017","105.85","106.09","106.21","105.47","7.53M","-0.18%"
"10/15/2017","106.04","106.67","106.79","106.00","8.30M","-0.77%"
"10/08/2017","106.86","106.21","106.92","106.14","7.73M","0.70%"
"10/01/2017","106.12","106.42","106.49","105.85","12.07M","-0.38%"
"09/24/2017","106.52","107.11","107.39","106.46","10.94M","-0.44%"
"09/17/2017","106.99","107.26","107.36","106.77","9.32M","-0.65%"
"09/10/2017","107.69","108.20","108.24","107.38","9.82M","-0.87%"
"09/03/2017","108.64","108.16","108.81","108.13","10.20M","0.82%"
"08/27/2017","107.76","107.76","108.43","107.70","8.30M","-0.05%"
"08/20/2017","107.81","107.60","107.87","107.37","6.48M","0.22%"
"08/13/2017","107.57","107.34","107.81","106.83","7.57M","0.02%"
"08/06/2017","107.55","106.88","107.62","106.73","5.42M","0.58%"
"07/30/2017","106.93","106.76","107.25","106.47","6.24M","0.10%"
"07/23/2017","106.82","107.08","107.15","106.41","10.72M","-0.30%"
"07/16/2017","107.14","106.46","107.27","106.40","9.66M","0.70%"
"07/09/2017","106.40","105.84","106.74","105.83","8.17M","0.60%"
"07/02/2017","105.77","106.45","106.46","105.72","15.33M","-0.79%"
"06/25/2017","106.61","107.90","108.01","106.54","10.82M","-1.10%"
"06/18/2017","107.80","107.59","107.86","107.41","6.26M","0.08%"
"06/11/2017","107.71","107.12","108.17","107.12","10.62M","0.42%"
"06/04/2017","107.26","107.40","107.83","107.11","10.36M","-0.29%"
"05/28/2017","107.57","107.18","107.69","106.90","7.66M","0.53%"
"05/21/2017","107.00","106.93","107.08","106.55","8.57M","-0.05%"
"05/14/2017","107.05","106.14","107.25","106.05","12.85M","0.81%"
"05/07/2017","106.19","105.89","106.28","105.41","10.44M","0.19%"
"04/30/2017","105.99","106.32","106.49","105.80","7.71M","-0.57%"
"04/23/2017","106.60","106.43","106.69","106.09","14.34M","-0.29%"
